"source_id","source_name","author","title","description","url","url_to_image","published_at","content","top_article","engagement_reaction_count","engagement_comment_count","engagement_share_count","engagement_comment_plugin_count"
"the-irish-times","The Irish Times","Joe Brennan","Mary Robinson reminds global investors of their climate duty","Former president tells forum of duty to put climate action at heart of investments","https://www.irishtimes.com/business/financial-services/mary-robinson-reminds-global-investors-of-their-climate-duty-1.4006700","https://www.irishtimes.com/image-creator/?id=1.4006698&origw=1440","2019-09-03T16:45:39Z","Former president of IrelandMary Robinson told a group of international investors managing over 5 trillion of assets that they have a duty to put climate action at the heart of their investment strategies to limit global warming. \r\nWe all have a responsibility… [+1553 chars]",0,0,0,1,0
"reuters","Reuters","Ruma Paul","Bangladesh blocks internet services in Rohingya refugee camps","""Bangladesh's telecom regulatory authority on Tuesday ordered mobile phone operators to partially block high-speed data services to areas where Rohingya refugees are living in sprawling camps, citing security concerns following recent violence in the area.""","https://in.reuters.com/article/bangladesh-rohingya-idINKCN1VO1Y6","https://s2.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425808933&w=1200&r=LYNXNPEF821FB","2019-09-03T15:47:51Z","""DHAKA (Reuters) - Bangladesh’s telecom regulatory authority on Tuesday ordered mobile phone operators to partially block high-speed data services to areas where Rohingya refugees are living in sprawling camps, citing security concerns following recent violenc… [+2654 chars]""",0,0,0,0,0
"newsweek","Newsweek","David Brennan","Donald Trump Congratulates Poland As Nation Marks Somber Anniversary of Nazi Invasion: 'We Also Have Many Polish People in Our Country'","""Trump canceled his visit to the country to stay in the U.S. and oversee the preparations for, and response to, Hurricane Dorian""","https://www.newsweek.com/donald-trump-congratulates-poland-nation-marks-somber-anniversary-nazi-invasion-many-polish-people-1457315","https://d.newsweek.com/en/full/1524600/donald-trump-poland-world-war-ii.jpg","2019-09-03T11:01:11Z","""This week, Poland is observing a dark and traumatic anniversary. On Sunday, the country marked 80 years since Nazi forces began their invasion of the nation in 1939, signaling Europe's descent into what would become the Second World War.\r\nThe occasion was mar… [+3078 chars]""",0,1683,835,623,0
"business-insider","Business Insider","Alicia Betz","This mineral-based sunscreen doesn't leave white residue behind — it protects my family's fair skin and is reef-friendly","""Mineral-based sunscreens that are reef-safe are becoming an increasingly popular sunscreen choice. Goddess Garden Organics offers four sunscreen formulations: daily, sport, kids, and baby. They also offer three delivery options: lotion, spray, and stick. The …""","https://www.businessinsider.com/goddess-garden-organics-sunscreen-review","https://amp.businessinsider.com/images/5d6941072e22af3d336e6615-960-480.jpg","2019-09-03T15:45:00Z","""Everyone should be wearing sunscreen on a daily basis to protect their skin, but I have pretty fair skin, so sunscreen is also a must for me if I don't want to look like a lobster after a day in the sun. My husband has even fairer skin, and it doesn't take mu… [+4705 chars]""",0,0,0,1,0
"the-new-york-times","The New York Times","Anthony Breznican","""Life Is Imitating Stephen King’s Art, and That Scares Him""","""In his 61st novel, ‘The Institute,’ children with supernatural abilities are taken from their parents and incarcerated. Sound familiar?""","https://www.nytimes.com/2019/09/03/books/stephen-king-interview-the-institute.html","https://static01.nyt.com/images/2019/08/27/books/03miller-01/King_Stephen01-facebookJumbo.jpg","2019-09-03T09:00:13Z","""They had happy endings. They had optimistic viewpoints about humanity, both individual people and groups of people, even when there were jerks in the mix, Vincent says. Is he mellowing with his viewpoint of the world, or in the earlier books might that have a… [+1866 chars]""",0,465,72,366,0
"cbs-news","CBS News","CBS News","Meet the hurricane hunters who fly into Dorian's eye","""Much of what we know about Hurricane Dorian comes from hurricane hunters who track storms from the sky. While flying directly into the eye of a hurricane may seem to be a terrifying thrill, it's vital to tracking Dorian's direction and speed. The planes used …""","https://www.cbsnews.com/video/meet-the-hurricane-hunters-who-fly-into-dorians-eye/","https://cbsnews3.cbsistatic.com/hub/i/r/2019/09/03/59c0117b-c4a9-4785-a6ed-f87c38d404ea/thumbnail/1200x630/e35a892a7af12adc72448925759f20e1/0903-ctm-hurricanehunter-barnett-1925454-640x360.jpg","2019-09-03T11:48:25Z",null,0,0,0,1,0
"reuters","Reuters","Reuters Editorial","Ethiopian opposition parties threaten election boycott","A coalition of Ethiopian opposition parties on Tuesday threatened to boycott a national vote next year without changes to an electoral law they view as biased towards the ruling party.","https://www.reuters.com/article/us-ethiopia-politics-idUSKCN1VO1ZE","https://s3.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425810168&w=1200&r=LYNXNPEF821FL","2019-09-03T15:55:05Z","ADDIS ABABA (Reuters) - A coalition of Ethiopian opposition parties on Tuesday threatened to boycott a national vote next year without changes to an electoral law they view as biased towards the ruling party. \r\nThere have been regular parliamentary elections … [+2047 chars]",0,3,0,15,0
"bbc-news","BBC News","https://www.facebook.com/bbcnews","Bullied for dancing - now bossing it as Britain's Got Talent's masked star","""The young dancing Stormtrooper wows Simon Cowell, three years after bullies made him move schools.""","https://www.bbc.co.uk/news/entertainment-arts-49568327","https://ichef.bbci.co.uk/news/1024/branded_news/9B77/production/_108599793_img_4760.jpg","2019-09-03T16:20:33Z","""When Kevin Turner was eight, he was forced to move schools after being bullied because of his love of dancing.\r\nThree years later, he has had the last laugh, being unmasked as the secret young star of the first episode of Britain's Got Talent: The Champions.\r\n… [+3287 chars]""",0,256,25,51,0
"business-insider","Business Insider","Ben Winck","Boeing shares slide as the latest 737 Max delay threatens holiday-season travel (BA)","Boeing's stock slid as much as 4% on Monday after United Airlines and American Airlines announced an extended cancellation of 737 Max flights. United said Friday it would delay the jet's return to service until December 19. American announced Sunday it wouldn…","https://www.businessinsider.com/boeing-stock-price-737-max-delays-to-december-american-united-2019-9","https://amp.businessinsider.com/images/5d6e60592e22af04d918e395-1536-768.jpg","2019-09-03T14:35:29Z","Boeing stock fell as much as 4% on Monday trading after United Airlines and American Airlines announced an extended cancellation of 737 Max flights until December. \r\n United said Friday it would delay of 737 Max flights until December 19 as it waits for the m… [+2397 chars]",0,15,0,1631,0
"cnn","CNN","""Kaya Yurieff, CNN Business""","YouTube says it's removing more hate speech than before but controversial channels remain up","""YouTube said it had removed more than 100,000 videos and over 17,000 channels for violating its hate speech rules during the second quarter.""","https://www.cnn.com/2019/09/03/tech/youtube-hate-speech/index.html","https://cdn.cnn.com/cnnnext/dam/assets/190812165049-youtube-logo-super-tease.jpg","2019-09-03T13:00:49Z",null,0,1157,1040,201,0
"newsweek","Newsweek","Isobel van Hagen","""Kristen Stewart Reflects On Robert Pattinson Romance, Coming Out""","""\""Life is a huge popularity contest,\"" Stewart said.""","https://www.newsweek.com/kristen-stewart-relationships-robert-pattinson-coming-out-1457430","https://d.newsweek.com/en/full/1524724/kristen-stewart.jpg","2019-09-03T17:13:09Z","""In a tell-all interview, Kristen Stewart opened up about her relationships. In an interview with Harper's Bazaar UKpublished Tuesday, the 29 year old discussed why she and her ex-boyfriend Robert Pattinson chose to keep their romance so private.\r\n\""When me and… [+2371 chars]""",0,0,0,0,0
"newsweek","Newsweek","Chantal Da Silva","""Turned Away From the U.S. Border, Young Hondurans Are Struggling To Survive""","""\""Trump is right because there are just so many people trying to make it to the U.S., but where would the U.S. be if it weren't for Latinos?\"" says 25-year-old Cristian Betancourt.""","http://www.newsweek.com/young-hondurans-turned-back-u-s-border-struggling-survive-1456820","https://d.newsweek.com/en/full/1524218/josue.jpg","2019-09-03T06:00:01Z","""Walking through the gym of a local community outreach center in Choloma, Honduras, 25-year-old Josue Betancourt is reminded of brighter days, when he used to be able to come here to work out with friends.\r\n\""You know, I used to be more buff than him,\"" Betancou… [+6352 chars]""",1,0,0,0,0
"cnn","CNN","""Kathryn Vasel, CNN Business""","Your boss hates you. What do you do?","""You aren't always going to get along with everyone you work with, but when it comes to your boss, it's in your best interest to forge a good relationship.""","https://www.cnn.com/2019/09/03/success/get-boss-to-like-you/index.html","https://cdn.cnn.com/cnnnext/dam/assets/190903115238-20190903-boss-relationship-super-tease.jpg","2019-09-03T16:15:09Z",null,0,1,11,15,0
"cbs-news","CBS News","CBS News","Eye Opener at 8: Millions of people in Florida and the southeast are anxiously watching Hurricane Dorian","A look back at what we've been covering on \"CBS This Morning.\"","https://www.cbsnews.com/video/eye-opener-at-8-millions-of-people-in-florida-and-the-southeast-are-anxiously-watching-hurricane-dorian/","https://cbsnews1.cbsistatic.com/hub/i/r/2019/09/03/adf95c24-820f-4c74-b01c-0972e580f7e0/thumbnail/1200x630/3b9c7fb6469ea535b8d77fbc2f1bdbd4/ctm-eyeopener8-1925468-640x360.jpg","2019-09-03T12:14:41Z",null,0,0,0,0,0
"the-wall-street-journal","The Wall Street Journal",null,"At Least Five Dead as Hurricane Dorian Heads Toward Southeastern U.S.","""The deadly storm is forecast to approach Florida later this week and turn north, skirting the coasts of Georgia and the Carolinas. Photo: John Marc Nutt/Reuters""","https://www.wsj.com/video/at-least-five-dead-as-hurricane-dorian-heads-toward-southeastern-us/96DD48A8-D158-4585-A158-AE216AFB5CF2.html","http://m.wsj.net/video/20190903/090319dorian_01/090319dorian_01_1280x720.jpg","2019-09-03T09:30:00Z",null,0,1,0,2,0
"business-insider","Business Insider","Natalia Lusinski","16 bosses reveal what they wish employees would tell them on their first day","""The first day at a new job can be overwhelming. However, several bosses also say it's a good time for new employees to reveal some key things to them, from their preferred work style to the goals they want to accomplish working together. We interviewed 16 bos…""","https://www.businessinsider.com/first-day-of-work-tell-boss-employee-2019-8","https://amp.businessinsider.com/images/5d683e9f2e22af30225beff8-2732-1366.jpg","2019-09-03T12:48:00Z","""Despite being healthy enough to work a job every day, if you have an underlying health condition, it's important to tell your employer about it, real estate agent Chantay Bridges told Business Insider in an email. \r\n \""While one person may be prone to seizures… [+1189 chars]""",0,0,0,4,0
"the-irish-times","The Irish Times","The Irish Times","Terry Gilliam: I disagree with John Cleese on Brexit","Director and Monty Python star says Brexit makes him ‘terminally depressed’","https://www.irishtimes.com/culture/film/terry-gilliam-i-disagree-with-john-cleese-on-brexit-1.4006216","https://www.irishtimes.com/image-creator/?id=1.4006203&origw=960","2019-09-03T09:29:41Z","""Terry Gilliam has said he disagrees with the way his friend and fellow Monty Python member John Cleese sees the world, following comments from the latter endorsing Brexit and criticising the diversity of London.\r\nThe animator and Hollywood director despairs o… [+1651 chars]""",0,0,0,1,0
"reuters","Reuters","Reuters Editorial","New Iran nuclear deal violation would send 'wrong signal': French diplomatic source","""A new violation of the 2015 nuclear deal by Iran would send the \""wrong signal\"", but efforts to find a solution in the crisis between Washington and Tehran would remain necessary, a French diplomatic source said on Tuesday.""","https://www.reuters.com/article/us-iran-usa-france-nuclear-idUSKCN1VO213","https://s4.reutersmedia.net/resources_v2/images/rcom-default.png","2019-09-03T16:09:54Z","""PARIS (Reuters) - A new violation of the 2015 nuclear deal by Iran would send the “wrong signal”, but efforts to find a solution in the crisis between Washington and Tehran would remain necessary, a French diplomatic source said on Tuesday. \r\n“It would clearl… [+433 chars]""",0,0,0,660,0
"business-insider","Business Insider","Avery Hartmans","I haven't gotten a new iPhone in 3 years. Here's why I can't wait to buy the iPhone 11. (AAPL)","""Apple is hosting an event on September 10 where it's likely to introduce new iPhones. One of those devices will likely be a successor to last year's iPhone XR — right now, it's being called the iPhone 11R. I've been using an iPhone 6S for about three years, a…""","https://www.businessinsider.com/apple-iphone-11-11r-why-upgrade-from-iphone-6s-2019-8","https://amp.businessinsider.com/images/5bd08f9fbac52b0ec70abfb9-1920-960.jpg","2019-09-03T13:35:14Z","""Last year's iPhone XR.\r\n Anton Novoderezhkin\\TASS via Getty Images \r\n We may be getting our first look at Apple's next iPhones on September 10, and I, for one, can't wait. \r\n The new phones are said to be fairly similar to last year's iPhone XR, iPhone XS, an… [+2196 chars]""",0,179,37,29,0
"the-wall-street-journal","The Wall Street Journal","""Richard Rubin, Theo Francis""","Yearslong Tax Dispute Could Cost Big Tech Companies Billions - The Wall Street Journal","""Yearslong Tax Dispute Could Cost Big Tech Companies Billions The Wall Street Journal A long-running tax dispute is racking up a potentially hefty price tag of nearly $2 billion and counting for dozens of big U.S. companies, including Facebook and...""","https://www.wsj.com/articles/yearslong-tax-dispute-could-cost-big-tech-companies-billions-11567503000","https://images.wsj.net/im-103409/social","2019-09-03T09:30:00Z","""A long-running tax dispute is racking up a potentially hefty price tag of nearly $2 billion and counting for dozens of big U.S. companies, including Facebook Inc. and Alphabet Inc.\r\nSince the most recent ruling on the case, in June, more than two dozen compan… [+271 chars]""",0,2,0,10,0
"cnn","CNN","""Eric Levenson, CNN""","""Dorian won't make landfall in Florida, but the east coast is still under threat""","""Hurricane Dorian will move \""dangerously close\"" to Florida overnight Tuesday, but the Category 3 storm is not currently expected to make landfall in the US over the next few days.""","https://www.cnn.com/2019/09/03/us/florida-hurricane-dorian-wxc/index.html","https://cdn.cnn.com/cnnnext/dam/assets/190902195909-09-hurricane-dorian-0902-super-tease.jpg","2019-09-03T14:43:24Z","""(CNN)Hurricane Dorian will move \""dangerously close\"" to Florida overnight Tuesday, but the Category 3 storm is not currently expected to make landfall in the US over the next few days.\r\nStill, a wobble here or a strong outer band there could bring its path of … [+4363 chars]""",0,8,1,12,0
"the-new-york-times","The New York Times","Alex Marshall","Margaret Atwood and Salman Rushdie on Booker Prize Shortlist","Novels by six authors will compete for one of the world’s most important fiction prizes.","https://www.nytimes.com/2019/09/03/books/booker-prize-shortlist.html","https://static01.nyt.com/images/2019/09/03/arts/03booker-item1/merlin_159955509_0d19da6f-2bc2-43b1-a653-40f06a4845a7-facebookJumbo.jpg","2019-09-03T10:17:51Z","""LONDON The literary heavyweights Margaret Atwood, Salman Rushdie and Elif Shafak all feature on the shortlist for this years Booker Prize, one of the worlds most prestigious literary awards.\r\nAtwood, who won the Booker Prize in 2000, is shortlisted this year … [+2309 chars]""",0,850,89,266,0
"business-insider","Business Insider","Daniel Strauss","Amazon's next-day shipping plan could boost sales by up to $24 billion (AMZN)","""Amazon's push into one-day delivery has the potential to create as much as $24 billion in addition revenue for the company, according to RBC Capital Markets. The e-commerce giant began offering one-day shipping to Prime members in June, with plans to roll out…""","https://www.businessinsider.com/amazon-next-day-delivery-plan-could-add-24-billion-sales-2019-9",null,"2019-09-03T13:52:24Z",null,0,6,1,1718,0
"cnn","CNN","""Christina Maxouris, CNN""","An airline employee thought two men at Newark airport looked suspicious so she yelled for people to evacuate","""Inside the Newark Liberty International Airport Monday night, an Alaska Airlines employee spotted two men who she thought looked suspicious.""","https://www.cnn.com/2019/09/03/us/newark-airport-employee-yells-evacuate/index.html","https://cdn.cnn.com/cnnnext/dam/assets/190903021757-01-newark-airport-evacuation-super-tease.jpg","2019-09-03T07:39:39Z",null,0,1452,1025,558,1
"the-irish-times","The Irish Times","Mure Dickie","""Johnson approved prorogation in August, Edinburgh court told""","""Nothing ‘specially shocking’ about suspending parliament, wrote UK prime minister""","https://www.irishtimes.com/news/world/uk/johnson-approved-prorogation-in-august-edinburgh-court-told-1.4006822","https://www.irishtimes.com/image-creator/?id=1.4006821&origw=1440","2019-09-03T18:11:58Z","""Boris Johnson, the UK prime minister, signed off on a plan to suspend the UK parliament two weeks before it was announced, dismissing the September gathering of the House of Commons as a rigmarole, a Scottish court heard on Tuesday.\r\nThe details of when the U… [+3331 chars]""",0,0,0,0,0
"the-irish-times","The Irish Times","The Irish Times","Raymond McCord in court to challenge prorogation of UK parliament","Victims’ campaigner’s bid to claim no-deal Brexit would damage peace process","https://www.irishtimes.com/news/politics/raymond-mccord-in-court-to-challenge-prorogation-of-uk-parliament-1.4006263","https://www.irishtimes.com/image-creator/?id=1.4006262&origw=1440","2019-09-03T10:29:56Z","""Victims campaigner Raymond McCord is back in Belfast court on Tuesday to challenge the prorogation of Parliament and a potential no-deal Brexit. \r\nMr McCord, whose son Raymond Jnr was murdered by loyalist paramilitaries in 1997, is already taking judicial rev… [+917 chars]""",0,7,0,3,0
"business-insider","Business Insider","Travis Clark","""'It: Chapter Two' manages to entertain for nearly 3 hours and will be a huge box-office hit, but can feel too familiar""","""\""It: Chapter Two\"" is a blockbuster-sized horror movie that's entertaining for nearly three hours. But it's also a tad too familiar, as it covers a lot of ground we recently saw in 2017's \""It.\"" Bill Skarsgard is terrifying as the evil clown Pennywise and Bill …""","https://www.businessinsider.com/it-chapter-2-review-entertaining-familiar-likely-box-office-hit-2019-8","https://amp.businessinsider.com/images/5d5c31fccd978403870f3239-1334-667.jpg","2019-09-03T16:00:00Z","""The Stephen King adaptation \""It\"" was a box-office sensation two years ago, raking in $123 million domestically in its opening weekend, a record for a horror movie. It went on to make $700 million worldwide. \r\n The upcoming sequel, \""It: Chapter Two,\"" is sure t… [+3045 chars]""",0,263,102,60,0
"abc-news","ABC News","Kelly Mccarthy","Ariana Grande files lawsuit against Forever 21 seeking at least $10M","Superstar and Grammy-winning singer Ariana Grande filed a lawsuit against Forever 21 and Riley Rose.","https://abcnews.go.com/Business/ariana-grande-files-lawsuit-forever-21-seeking-10m/story?id=65358212","https://s.abcnews.com/images/GMA/adriana-grande-gty-jt-190612_hpMain_16x9_992.jpg","2019-09-03T17:01:21Z","""Ariana Grande has filed a lawsuit against Forever 21 and Riley Rose for \""unauthorized use\"" of her \""name, image, likeness and music\"" to promote their brands and elicit sales.\r\nAccording to court documents obtained by ABC News, the Los Angeles-based superstar i… [+2210 chars]""",0,373,187,57,0
"cbs-news","CBS News","CBS/AP","California boat fire death toll jumps and several still missing","More bodies recovered but several people still not found after fire raced through craft carrying scuba divers off Southern California","https://www.cbsnews.com/news/boat-fire-people-missing-santa-cruz-island-diving-boat-fire-southern-california-death-toll-jumps/","https://cbsnews2.cbsistatic.com/hub/i/r/2019/09/02/89d4affc-8b8e-49a9-a0d7-f6c5270bfd9b/thumbnail/1200x630/91214808e3ea8619036baf726e8ea146/california-boat-fire-eddwb-qvuaiq3ld.jpg","2019-09-03T06:00:05Z","""Santa Barbara, Calif. -- A middle-of-the-night fire swept a boat carrying recreational scuba divers anchored near an island off the Southern California coast early Monday, leaving at least 25 dead and nine others missing.\r\nFive of six crew members on the Conc… [+7145 chars]""",0,817,149,146,0
"bbc-news","BBC News","https://www.facebook.com/bbcnews","German critic defends 'fat shaming' soprano Kathryn Lewek","German writer claims US singer \"probably can't speak German\" after \"fat shaming\" claims.","https://www.bbc.co.uk/news/entertainment-arts-49570073","https://ichef.bbci.co.uk/news/1024/branded_news/3B33/production/_108555151_797747b5-d031-4285-bfd1-1a1dcbf029ce.jpg","2019-09-03T15:31:09Z","Image copyrightSalzburg Festival/Monika RittershausImage caption\r\n Kathryn Lewek plays Eurydice in Orpheus in the Underworld\r\nA German theatre critic has refused to back down after US soprano Kathryn Lewek accused some reviewers of \"fat shaming\" her.\r\nLewek s… [+3380 chars]",0,2,0,9,0
"business-insider","Business Insider","Allana Akhtar","11 shocking things about being a teacher that you'd never thought to ask","""Business Insider asked K-12 public school teachers to answer the question, \""What's something about your job that a lot of people don't know?\"" Many people don't know teachers can't use the bathroom when they want to if it leaves students unattended. Others say…""","https://www.businessinsider.com/public-school-teachers-reveal-the-most-shocking-things-about-their-job","https://amp.businessinsider.com/images/5d6e80b62e22af19ae334aa8-2732-1366.jpg","2019-09-03T15:13:55Z","""Many teachers strive to understand the way each of their students learn best, and help them in the best way possible. Yet crafting such specialized lesson plans requires time . \r\n An anonymous high school teacher from California said she teaches more than 200… [+1001 chars]""",0,0,0,7,0
"reuters","Reuters","Robin Emmott","""With Trump's blessing, Pompeo sought 'reset' with new EU leaders: envoy""","""U.S. Secretary of State Mike Pompeo sought on Tuesday to reestablish friendlier ties with the incoming leaders of the European Union and mark an end to troubled relations since President Donald Trump took office, a senior U.S. diplomat said.""","https://www.reuters.com/article/us-usa-eu-pompeo-idUSKCN1VO2CM","https://s1.reutersmedia.net/resources/r/?m=02&d=20190903&t=2&i=1425845423&w=1200&r=LYNXNPEF821O1","2019-09-03T18:06:29Z","""BRUSSELS (Reuters) - U.S. Secretary of State Mike Pompeo sought on Tuesday to reestablish friendlier ties with the incoming leaders of the European Union and mark an end to troubled relations since President Donald Trump took office, a senior U.S. diplomat sa… [+2463 chars]""",0,0,0,9,0
"business-insider","Business Insider","Steven John","""How to turn a PS4 on or off, or put it into Rest Mode, using the controller or system""","You can turn a PS4 off or on using either a power button located on the console or a controller that is physically connected or paired to the device. You can also put your PS4 in a \"Rest Mode\" to save power. Visit Business Insider's homepage for more stories.…","https://www.businessinsider.com/how-to-turn-off-ps4","https://amp.businessinsider.com/images/5d6e78172e22af0c347593e3-2732-1366.jpg","2019-09-03T14:42:00Z","""There are multiple ways to turn a PlayStation 4 console on or off, and there are even different power settings you can use, depending on how long you think you'll be away from your games. \r\n Using Rest Mode keeps the system ready to quickly come back online, … [+1704 chars]""",0,6,0,10,0
"business-insider","Business Insider","Mark Matousek","""Some Royal Caribbean, Disney, and Norwegian Cruise ship passengers are stuck at sea as Hurricane Dorian creeps dangerously close to Florida (RCL, CCL)""","""Royal Caribbean International, Disney Cruise Line, and Norwegian Cruise Line have extended the itineraries for some cruises that began in Florida as Hurricane Dorian nears the state. The cruise lines have canceled or changed the itineraries for a number of ot…""","https://www.businessinsider.com/royal-caribbean-disney-norwegian-ships-stuck-hurricane-dorian-2019-9","https://amp.businessinsider.com/images/5d6e7bbe2e22af0d760fa992-2732-1366.jpg","2019-09-03T15:25:30Z","""Royal Caribbean International, Disney Cruise Line, and Norwegian Cruise Line have extended the itineraries for some cruises that began in Florida as Hurricane Dorian nears the state. \r\n Six Royal Caribbean ships that boarded in Orlando, Miami, or Fort Lauderd… [+1974 chars]""",0,248,167,133,0
"the-irish-times","The Irish Times","Jack Power","Farmers group warns of potential beef shortages","But industry group says ‘we are not yet at the stage of white shelves’ in supermarkets","https://www.irishtimes.com/\t\t\t\t\t\t\t/news/ireland/irish-news/farmers-group-warns-of-potential-beef-shortages-1.4006765\t","https://www.irishtimes.com/image-creator/?id=1.4006764&origw=1440","2019-09-03T17:28:04Z","""There will be shortages of beef on supermarket shelves in the coming days if a major dispute with farmers is not resolved, the Irish Cattle and Sheep Farmers Association (ICSA) has claimed. \r\nEdmond Phelan, president of the farmers group said the big supermar… [+3284 chars]""",1,null,null,null,null
"the-new-york-times","The New York Times","Robert Simonson","""Named the World’s Best Bar, Dante Plans a Sequel""","Dante West Village will swap the original’s Italian feel for a Basque theme.","https://www.nytimes.com/2019/09/03/dining/drinks/dante-west-village.html","https://static01.nyt.com/images/2019/09/04/dining/03Preview-Cocktail1/03Preview-Cocktail1-facebookJumbo.jpg","2019-09-03T17:28:33Z","""One custom drink on the menu is the Mediterranean martini, made of gin, dry vermouth, thyme, sea salt and mastiha, a liqueur derived from the hardened sap of the mastic tree. It will be served with a selection of brightly colored Cerignola olives.\r\nI see the … [+1141 chars]""",0,0,0,5,0
"abc-news","ABC News","The Associated Press","Celebrity birthdays for the week of Sept. 8-14","""Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.""","https://abcnews.go.com/Entertainment/wireStory/celebrity-birthdays-week-sept-14-65356436",null,"2019-09-03T13:34:45Z","Celebrity birthdays for the week of Sept. 8-14:\r\nSept. 8: Ventriloquist Willie Tyler (with Lester) is 79. Actor Alan Feinstein is 78. Singer Sal Valentino of The Beau Brummels is 77. Actress Heather Thomas (\"The Fall Guy\") is 62. Singer Aimee Mann is 59. Bass… [+7426 chars]",0,0,0,0,0
"bbc-news","BBC News",null,"""Scotland v Russia: Steve Clarke's attention to detail is key for hosts, says Scott McTominay.""","""Manager Steve Clarke's \""amazing\"" attention to detail is key to reviving Scotland's Euro 2020 qualification hopes, says midfielder Scott McTominay.""","https://www.bbc.co.uk/sport/football/49568467","https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/10107/production/_108599756_19058028.jpg","2019-09-03T13:45:02Z","""Media playback is not supported on this device\r\nDouble-header like two cup finals - McTominay\r\n<table><tr><th>Euro 2020 qualifying: Scotland v Russia</th></tr>\r\n<tr><td>Venue: Hampden Park, Glasgow Date: Friday, 6 September Kick-off: 19:45 BST</td></tr><tr><t… [+2076 chars]""",0,7,1,7,0
"newsweek","Newsweek","Dan Cancian","""FIBA Basketball World Cup 2019 Schedule: Where to Watch Team USA vs. Turkey, Live Stream, Team News, Latest Odds""","""Following an 88-67 win in the opening game against the Czech Republic, Team USA faces Turkey on Tuesday.""","https://www.newsweek.com/fiba-world-cup-basketball-team-usa-turkey-live-stream-odds-1457155","https://d.newsweek.com/en/full/1524428/donovan-mitchell-team-usa.jpg","2019-09-03T02:00:01Z","""Team USA takes on Turkey this Tuesday in the second round of group games at the FIBA World Cup.\r\nThe Americans' quest for an unprecedented third consecutive world title began in confident fashion with an 88-67 win against the Czech Republic in Shanghai, China… [+3352 chars]""",0,0,0,2,0
"the-new-york-times","The New York Times","Jeanette Winterson","Salman Rushdie Updates ‘Don Quixote’ for the Digital Age","""In “Quichotte,” the author of “Midnight’s Children” and “The Satanic Verses” sends an elderly Indian drug salesman on a magic realist quest.""","https://www.nytimes.com/2019/09/03/books/review/quichotte-salman-rushdie.html","https://static01.nyt.com/images/2019/08/15/books/review/Winterson1/Winterson1-facebookJumbo.jpg","2019-09-03T09:00:08Z","""Pinocchioed into existence, Sancho gets the help of another fairy tale character: a personal Jiminy Cricket, who naturally speaks Italian (Cosa vuoi, paisan? What do you wish from me?) and provides Sancho with some cash.\r\nNo explanation is given and none is n… [+1948 chars]""",0,23,0,16,0
"abc-news","ABC News","The Associated Press","Sheryl Crow feels 'liberated' by saying goodbye to the album","""Rocker Sheryl Crow says she feels liberated by saying goodbye to the full-length album format, but goes out with a star-studded bang on \""Threads.\""""","https://abcnews.go.com/Entertainment/wireStory/sheryl-crow-feels-liberated-goodbye-album-65358836","https://s.abcnews.com/images/Entertainment/WireAP_e56806824cfe4f4aa287b73b4b2fcaaf_16x9_992.jpg","2019-09-03T15:27:46Z","""Sheryl Crow has a lifetime of stories of hanging out with rock stars, pop stars, athletes, icons and music royalty, some even featured on her new collaborative record, but don't expect her to start revealing any secrets in an autobiography.\r\n\""I mean, there ar… [+4022 chars]""",0,0,0,0,0
"abc-news","ABC News","The Associated Press","Man dies following police confrontation in suburban Denver","""Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.""","https://abcnews.go.com/US/wireStory/man-dies-police-confrontation-suburban-denver-65362580",null,"2019-09-03T17:36:41Z","An investigation is underway after a man died following a confrontation with police in suburban Denver.\r\nThe Denver Post reports Aurora police received a call about a suspicious person wearing a ski mask and waving his arms as he walked down a street Aug. 24.… [+555 chars]",0,0,0,0,0
"the-new-york-times","The New York Times",null,"A Potential Peace Deal With the Taliban","""The United States appears to have reached an agreement to start a troop withdrawal from Afghanistan, but it’s only a first step.""","https://www.nytimes.com/2019/09/03/podcasts/the-daily/us-taliban-afghanistan.html","https://static01.nyt.com/images/2019/08/13/world/03daily1/03daily1-facebookJumbo-v2.jpg","2019-09-03T10:16:17Z","""Mujib Mashal contributed reporting.\r\nThe Daily is made by Theo Balcomb, Andy Mills, Lisa Tobin, Rachel Quester, Lynsea Garrison, Annie Brown, Clare Toeniskoetter, Paige Cowett, Michael Simon Johnson, Brad Fisher, Larissa Anderson, Wendy Dorr, Chris Wood, Jess… [+363 chars]""",0,634,582,172,0
"bbc-news","BBC News","BBC News","MPs return ahead of key Brexit vote","Latest reaction as Prime Minister Boris Johnson clashes with MPs over the UK's departure from the EU.","http://www.bbc.co.uk/news/live/uk-politics-49557734","//m.files.bbci.co.uk/modules/bbc-morph-news-waf-page-meta/3.2.1/bbc_news_logo.png","2019-09-03T14:53:39.3996878Z","""The defection of Phillip Lee, MP for Bracknell, from the Tories to the Liberal Democrats, means the prime minister has no majority.\r\nMr Lee said in a statement:\r\n\""This Conservative Government is aggressively pursuing a damaging Brexit in unprincipled ways. \r\n… [+730 chars]""",1,34137,15261,36720,0
